"TOA5","T_leaf_FS","CR300","24888","CR300-CELL215.Std.11.00","CPU:Tleaf32x_8100m_20240704.CR300","64932","Status"
"TIMESTAMP","RECORD","OSVersion","OSDate","OSSignature","SerialNumber","RevBoard","StationName","ProgName","StartTime","RunSignature","ProgSignature","WatchdogErrors","PanelTemp","Battery","LithiumBattery","CompileResults","StartUpCode","ProgErrors","VarOutOfBound","SkippedScan","WiFiUpdateReq","DataStorageSize","DataStorageFree","SerialFlashErrors","MemorySize","MemoryFree","CPUDriveFree","CommsMemFree","FullMemReset","MeasureTime","ProcessTime","MaxProcTime","PortStatus(1)","PortStatus(2)","PortConfig(1)","PortConfig(2)","SW12Volts","PakBusRoutes","CalGainSlow2500","CalGainMed2500","CalGainFast2500","CalGainSlow34","CalGainMed34","CalGainFast34","CalOffset"
"TS","RN","","","","","","","","","","","","DegC","Volts","","","","","","","","bytes","bytes","","bytes","bytes","bytes","","","usec","usec","usec","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-07-26 13:31:51.219",10,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,21.16333,12.50294,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4381218,5301233,0,0,"Output","Output",0,"117,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-26 13:59:51.215",11,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,22.78755,12.49179,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4382221,5301233,0,0,"Output","Output",0,"117,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-27 13:31:54.819",12,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,22.48279,12.47554,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"69(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4382305,5301233,0,0,"Output","Output",0,"118,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-27 13:59:50.564",13,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,24.71544,12.46682,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4383199,5301233,0,0,"Output","Output",0,"118,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-28 13:31:51.184",14,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,22.30222,12.45227,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4381226,5301233,0,0,"Output","Output",0,"120,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-28 13:59:51.14",15,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,25.48776,12.43748,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4384322,5301233,0,0,"Output","Output",0,"120,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-29 13:31:51.13",16,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,24.64137,12.41857,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4384199,5301233,0,0,"Output","Output",0,"121,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-29 13:59:51.07",17,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,27.02104,12.41833,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4384330,5301233,0,0,"Output","Output",0,"121,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-30 13:31:59.998",18,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,28.84692,12.40815,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4387222,5301233,0,0,"Output","Output",0,"122,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
"2024-07-31 13:31:50.942",19,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24888","013.000","T_leaf_FS","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-11 08:58:10.000172",51443,64932,0,28.19116,12.37517,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83738624,"70(69),298(296),154(151),61(59),19(18),36(35),24(22),18(17),0(0)",0,175200,4386203,5301233,0,0,"Output","Output",0,"126,4094,4094,10000  ",0.999929,1.000219,1.000363,0.9998573,1.000216,1.000824,0.002939254
