"TOA5","T_leaf_PA","CR300","24764","CR300-CELL215.Std.11.00","CPU:Tleaf32x_8100m_20240704.CR300","64932","Status"
"TIMESTAMP","RECORD","OSVersion","OSDate","OSSignature","SerialNumber","RevBoard","StationName","ProgName","StartTime","RunSignature","ProgSignature","WatchdogErrors","PanelTemp","Battery","LithiumBattery","CompileResults","StartUpCode","ProgErrors","VarOutOfBound","SkippedScan","WiFiUpdateReq","DataStorageSize","DataStorageFree","SerialFlashErrors","MemorySize","MemoryFree","CPUDriveFree","CommsMemFree","FullMemReset","MeasureTime","ProcessTime","MaxProcTime","PortStatus(1)","PortStatus(2)","PortConfig(1)","PortConfig(2)","SW12Volts","PakBusRoutes","CalGainSlow2500","CalGainMed2500","CalGainFast2500","CalGainSlow34","CalGainMed34","CalGainFast34","CalOffset"
"TS","RN","","","","","","","","","","","","DegC","Volts","","","","","","","","bytes","bytes","","bytes","bytes","bytes","","","usec","usec","usec","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-07-15 15:06:16.834",24,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24764","013.000","T_leaf_PA","CPU:Tleaf32x_8100m_20240704.CR300","2024-07-04 15:45:07.000146",41089,64932,0,26.13519,11.53144,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",0,0,0,0,0,31457280,8192,0,621076,27984,83755008,"71(69),298(296),154(151),61(60),19(18),36(35),20(18),18(17),0(0)",0,175200,4725257,4924355,0,0,"Output","Output",0,"1,4093,4093,1000  1,4089,4089,5000  ",0.9998942,1.000051,0.9997489,0.9998465,1.000051,1.000207,0.01658499
"2024-11-01 15:12:58.999",1,"CR300-CELL215.Std.11.00","12/14/2023",9942,"24764","013.000","T_leaf_PA","CPU:Tleaf32x_8100m_20240704.CR300","2024-11-01 15:12:44.000535",56666,64932,0,18.17996,5.072499,"OK, ON POWER UP","CPU:Tleaf32x_8100m_20240704.CR300 -- Compiled OK.  ",-1,0,0,0,0,31457280,8192,0,621076,27984,83755008,"71(70),298(298),154(153),61(61),19(19),36(36),24(23),18(17),0(0)",0,0,0,0,0,0,"Output","Input",0,"1,4093,4093,1000  ",0.9998942,1.000051,0.9997489,0.9998465,1.000051,1.000207,0.01658499
